shelfmark,sort_as,url,origin,ms_date,route,century,country
BPL 4,BPL 0004,bpl-4,Italy,1453,religion-devotion,15th century,Italy
BPL 17,BPL 0017,bpl-17,France?,c. 1200,liberal-arts-education,12th century,France?
BPL 43,BPL 0043,bpl-43,France?,1100-1200,liberal-arts-education,12th century,France?
BPL 91,BPL 0091,bpl-91,Italy,1100-1200,liberal-arts-education,12th century,Italy
BPL 137 D,BPL 0137 D,bpl-137-d,France/Italy,1150-1200,liberal-arts-education,12th century,France or Italy
BPL 138,BPL 0138,bpl-138,France,1437,liberal-arts-education,15th century,France
BPL 139 B,BPL 0139 B,bpl-139-b,"Fleury, France",900-1100,liberal-arts-education,10th-11th centuries,France
BPL 154,BPL 0154,bpl-154,"Apennine Peninsula, France",1200-1400,liberal-arts-education,13th-14th centuries,Italy and France
BPL 164,BPL 0164,bpl-164,Germany?,1300-1500,liberal-arts-education,14th-15th centuries,Germany?
BPL 186,BPL 0186,bpl-186,"Apennine Peninsula, Italy? and France",1100-1300,liberal-arts-education,12th-13th centuries,Italy? and France
BPL 191 A,BPL 0191 A,bpl-191-a,France/Southern Netherlands,1100-1400,liberal-arts-education,12th-14th centuries,France or Netherlands (S)
BPL 191 BD,BPL 0191 BD,bpl-191-bd,Germany,1100-1150,liberal-arts-education,12th century,Germany
BPL 191 E,BPL 0191 E,bpl-191-e,Germany and Italy,1100-1200,liberal-arts-education,12th century,Germany and Italy
BPL 194,BPL 0194,bpl-194,Germany or Netherlands,1000-1100,liberal-arts-education,11th century,Germany or Netherlands
BPL 195,BPL 0195,bpl-195,France,1100-1200,liberal-arts-education,12th century,France
BPL 197,BPL 0197,bpl-197,"Southern Netherlands?, Netherlands",1100-1300,liberal-arts-education,12th-13th centuries,Netherlands (S?)
BPL 225,BPL 0225,bpl-225,"Fleury?, France",1100-1200,liberal-arts-education,12th century,France
BPL 226,BPL 0226,bpl-226,"West-Germany, Germany",1100-1200,liberal-arts-education,12th century,Germany
BPL 304,BPL 0304,bpl-304,Northern Netherlands/Germany,1466,liberal-arts-education,15th century,Low (N) or Germany
BPL 1015,BPL 1015,bpl-1015,France?,1300-1400,liberal-arts-education,14th century,France?
BPL 1715,BPL 1715,bpl-1715,"Apennine Peninsula, Italy",1458,liberal-arts-education,15th century,Italy
BPL 1765,BPL 1765,bpl-1765,Netherlands?,1400-1450,liberal-arts-education,15th century,Netherlands?
BPL 1800,BPL 1800,bpl-1800,Netherlands,1459-1530,religion-devotion,15th-16th centuries,Netherlands
BPL 1905,BPL 1905,bpl-1905,"Southern Netherlands?, Netherlands",1400-1600,diy-manuals,15th-16th centuries,Netherlands (S?)
BPL 1949,BPL 1949,bpl-1949,"Roermond, Netherlands",1450-1500,religion-devotion,15th century,Netherlands (N)
BPL 1956,BPL 1956,bpl-1956,Germany,1507,diy-manuals,16th century,Germany
BPL 2231,BPL 2231,bpl-2231,Netherlands,1450-1500,religion-devotion,15th century,Netherlands
BPL 2480,BPL 2480,bpl-2480,"South-Holland, Netherlands",1528,religion-devotion,16th century,Netherlands (N)
BPL 2482,BPL 2482,bpl-2482,Netherlands,1400-1425,religion-devotion,15th century,Netherlands
BPL 2483,BPL 2483,bpl-2483,Germany?,1400-1500,religion-devotion,15th century,Germany?
BPL 2627,BPL 2627,bpl-2627,"Bruges and South Holland, Netherlands",1400 and 1450-1475,religion-devotion,15th century,Netherlands
BPL 2706,BPL 2706,bpl-2706,"Northern Netherlands, Netherlands",1463?,religion-devotion,15th century,Netherlands (N)
BPL 2782,BPL 2782,bpl-2782,"Holland, Netherlands",1481,religion-devotion,15th century,Netherlands (N)
BPL 2795,BPL 2795,bpl-2795,"Brabant, Netherlands",1525-1550,religion-devotion,16th century,Netherlands (S)
BPL 2851,BPL 2851,bpl-2851,Germany/Netherlands,1450-1475,religion-devotion,15th century,Germany or Netherlands
BPL 2856,BPL 2856,bpl-2856,"Den Bosch, Netherlands",1450-1500,religion-devotion,15th century,Netherlands (N)
BPL 2905,BPL 2905,bpl-2905,"Den Bosch, Netherlands",c.1450-1500,religion-devotion,15th century,Netherlands (N)
BPL 3094,BPL 3094,bpl-3094,"Southern Netherlands, Flanders",1475-1500,diy-manuals,15th century,Netherlands (S)
BPL 3103,BPL 3103,bpl-3103,"South-Germany, Germany",c.1460,diy-manuals,15th century,Germany
BPL 3284,BPL 3284,bpl-3284,Germany,1500-1550?,diy-manuals,16th century,Germany
GRO 6,GRO 0006,gro-6,"Florence, Italy",1300-1400,liberal-arts-education,14th century,Italy
LTK 169,LTK 0169,ltk-169,"West-Flanders, Netherlands",1300-1325,diy-manuals,14th century,Netherlands (S)
LTK 218,LTK 0218,ltk-218,"Holland, Netherlands",1450-1500,religion-devotion,15th century,Netherlands (N)
LTK 237,LTK 0237,ltk-237,Netherlands,1400-1550,religion-devotion,15th-16th centuries,Netherlands
LTK 247,LTK 0247,ltk-247,"Purmerend, Netherlands",1463,religion-devotion,15th century,Netherlands (N)
LTK 263,LTK 0263,ltk-263,"Leiden?, Netherlands",1437,religion-devotion,15th century,Netherlands (N)
LTK 278,LTK 0278,ltk-278,"Leiden?, Netherlands",1420,religion-devotion,15th century,Netherlands (N)
LTK 284,LTK 0284,ltk-284,"Utrecht, Netherlands",1500-1550?,religion-devotion,16th century,Netherlands (N)
LTK 287,LTK 0287,ltk-287,"Delft, Netherlands",c.1460,diy-manuals,15th century,Netherlands (N)
LTK 303,LTK 0303,ltk-303,"Tongeren, Southern Netherlands",1500-1550,diy-manuals,16th century,Netherlands (S)
LTK 304,LTK 0304,ltk-304,"Brabant, Netherlands",1550,religion-devotion,16th century,Netherlands (S)
LTK 316,LTK 0316,ltk-316,"Utrecht?, Netherlands",1400-1450?,religion-devotion,15th century,Netherlands (N)
LTK 318,LTK 0318,ltk-318,"Gouda, Netherlands",1476,religion-devotion,15th century,Netherlands (N)
LTK 336,LTK 0336,ltk-336,"Leiden, Netherlands",1533-1534,religion-devotion,16th century,Netherlands (N)
PER Q 85,PER Q 0085,per-q-85,Netherlands,1760,liberal-arts-education,18th century,Netherlands
SCA 1,SCA 0001,sca-1,France,1400,liberal-arts-education,14th century,France
VCF 6,VCF 0006,vcf-6,"Dresden, Germany",1575-1600?,diy-manuals,16th century,Germany
VCF 8,VCF 0008,vcf-8,Germany,1585,diy-manuals,16th century,Germany
VCF 11,VCF 0011,vcf-11,Germany,1590,diy-manuals,16th century,Germany
VCF 12,VCF 0012,vcf-12,Germany,1575,diy-manuals,16th century,Germany
VCF 13,VCF 0013,vcf-13,Germany,1575-1600,diy-manuals,16th century,Germany
VCF 14,VCF 0014,vcf-14,Germany,1577-1600,diy-manuals,16th century,Germany
VCF 15,VCF 0015,vcf-15,Germany,1575-1600,diy-manuals,16th century,Germany
VCF 16,VCF 0016,vcf-16,Germany,1550-1600,diy-manuals,16th century,Germany
VCF 17,VCF 0017,vcf-17,Germany,1575-1600,diy-manuals,16th century,Germany
VCF 18,VCF 0018,vcf-18,Germany,1575-1586,diy-manuals,16th century,Germany
VCF 20,VCF 0020,vcf-20,Germany,1574,diy-manuals,16th century,Germany
VCF 21,VCF 0021,vcf-21,Germany,1572-1600,diy-manuals,16th century,Germany
VCF 22,VCF 0022,vcf-22,Germany,1586,diy-manuals,16th century,Germany
VCF 23,VCF 0023,vcf-23,Germany,1568-1600,diy-manuals,16th century,Germany
VCQ 13,VCQ 0013,vcq-13,Germany,1506-1526?,diy-manuals,16th century,Germany
VCQ 37,VCQ 0037,vcq-37,Netherlands?,1500-1550?,diy-manuals,16th century,Netherlands?
